DateTime,Junction,Vehicles,ID,Temperature (°C),Wind Speed (km/h),Precipitation (mm),Humidity (%),Is Holiday,IsWeekend,SyntheticCharge,DayOfWeek,HourOfDay,EstimatedFare,Distance_km
2015-11-01 00:00:00,1,15,20151101001,19.2,7.6,0.0,84,0,1,21.42,6,0,358.68,15
2015-11-01 01:00:00,1,13,20151101011,18.9,5.8,0.0,85,0,1,20.39,6,1,357.36,15
2015-11-01 02:00:00,1,10,20151101021,19.7,2.3,0.0,80,0,1,18.97,6,2,355.88,15
2015-11-01 03:00:00,1,7,20151101031,19.6,3.3,0.0,80,0,1,17.46,6,3,354.04,15
2015-11-01 04:00:00,1,9,20151101041,19.2,4.5,0.0,83,0,1,18.42,6,4,355.08,15
2015-11-01 05:00:00,1,6,20151101051,18.8,4.0,0.0,85,0,1,16.88,6,5,353.12,15
2015-11-01 06:00:00,1,9,20151101061,18.5,3.8,0.0,86,0,1,18.35,6,6,354.8,15
2015-11-01 07:00:00,1,8,20151101071,18.7,2.9,0.0,86,0,1,17.87,6,7,354.28,15
2015-11-01 08:00:00,1,11,20151101081,21.8,1.3,0.0,73,0,1,19.68,6,8,357.32,15
2015-11-01 09:00:00,1,12,20151101091,24.7,2.3,0.0,60,0,1,20.47,6,9,359.08,15
2015-11-01 10:00:00,1,15,20151101101,26.4,4.3,0.0,52,0,1,22.14,6,10,361.56,15
2015-11-01 11:00:00,1,17,20151101111,27.5,4.7,0.0,47,0,1,23.25,6,11,363.2,15
2015-11-01 12:00:00,1,16,20151101121,28.4,4.3,0.0,45,0,1,22.84,6,12,362.96,15
2015-11-01 13:00:00,1,15,20151101131,29.0,4.5,0.0,42,0,1,22.4,6,13,362.6,15
2015-11-01 14:00:00,1,16,20151101141,29.2,4.9,0.0,40,0,1,22.92,6,14,363.28,15
2015-11-01 15:00:00,1,12,20151101151,29.2,3.1,0.0,39,0,1,20.92,6,15,360.88,15
2015-11-01 16:00:00,1,12,20151101161,28.8,2.3,0.0,40,0,1,20.88,6,16,360.72,15
2015-11-01 17:00:00,1,16,20151101171,27.7,2.6,0.0,45,0,1,22.77,6,17,362.68,15
2015-11-01 18:00:00,1,17,20151101181,26.0,1.9,0.0,52,0,1,23.1,6,18,362.6,15
2015-11-01 19:00:00,1,20,20151101191,24.5,2.2,0.0,57,0,1,24.45,6,19,363.8,15
2015-11-01 20:00:00,1,17,20151101201,23.0,3.6,0.0,63,0,1,22.8,6,20,361.4,15
2015-11-01 21:00:00,1,19,20151101211,21.8,3.9,0.0,69,0,1,23.68,6,21,362.12,15
2015-11-01 22:00:00,1,20,20151101221,20.9,3.1,0.0,73,0,1,24.09,6,22,362.36,15
2015-11-01 23:00:00,1,15,20151101231,20.5,0.5,0.0,74,0,1,21.55,6,23,359.2,15
2015-11-02 00:00:00,1,14,20151102001,21.7,3.7,0.0,70,0,0,19.17,0,0,309.08,15
2015-11-02 01:00:00,1,12,20151102011,19.1,5.9,0.0,84,0,0,17.91,0,1,306.84,15
2015-11-02 02:00:00,1,14,20151102021,18.5,6.0,0.0,86,0,0,18.85,0,2,307.8,15
2015-11-02 03:00:00,1,12,20151102031,18.1,6.1,0.0,88,0,0,17.81,0,3,306.44,15
2015-11-02 04:00:00,1,12,20151102041,17.8,6.0,0.0,88,0,0,17.78,0,4,306.32,15
2015-11-02 05:00:00,1,11,20151102051,17.4,5.9,0.0,90,0,0,17.24,0,5,305.56,15
2015-11-02 06:00:00,1,13,20151102061,17.1,6.1,0.0,91,0,0,18.21,0,6,306.64,15
2015-11-02 07:00:00,1,14,20151102071,18.3,7.1,0.0,87,0,0,18.83,0,7,307.72,15
2015-11-02 08:00:00,1,12,20151102081,22.3,4.7,0.0,68,0,0,18.23,0,8,308.12,15
2015-11-02 09:00:00,1,22,20151102091,25.5,5.2,0.0,56,0,0,23.55,0,9,315.4,15
2015-11-02 10:00:00,1,32,20151102101,27.4,4.8,0.0,48,0,0,28.74,0,10,322.16,15
2015-11-02 11:00:00,1,31,20151102111,28.3,4.0,0.0,44,0,0,28.33,0,11,321.92,15
2015-11-02 12:00:00,1,35,20151102121,28.7,2.9,0.0,45,0,0,30.37,0,12,324.48,15
2015-11-02 13:00:00,1,26,20151102131,29.1,1.8,0.0,43,0,0,25.91,0,13,319.24,15
2015-11-02 14:00:00,1,34,20151102141,29.2,1.8,0.0,42,0,0,29.92,0,14,324.08,15
2015-11-02 15:00:00,1,30,20151102151,29.1,0.8,0.0,41,0,0,27.91,0,15,321.64,15
2015-11-02 16:00:00,1,27,20151102161,28.8,1.8,0.0,41,0,0,26.38,0,16,319.72,15
2015-11-02 17:00:00,1,27,20151102171,27.8,4.4,0.0,46,0,0,26.28,0,17,319.32,15
2015-11-02 18:00:00,1,24,20151102181,26.4,6.0,0.0,53,0,0,24.64,0,18,316.96,15
2015-11-02 19:00:00,1,26,20151102191,25.0,7.1,0.0,58,0,0,25.5,0,19,317.6,15
2015-11-02 20:00:00,1,29,20151102201,23.8,7.4,0.0,62,0,0,26.88,0,20,318.92,15
2015-11-02 21:00:00,1,32,20151102211,22.7,6.9,0.0,67,0,0,28.27,0,21,320.28,15
2015-11-02 22:00:00,1,30,20151102221,21.8,7.6,0.0,70,0,0,27.18,0,22,318.72,15
2015-11-02 23:00:00,1,27,20151102231,21.0,7.2,0.0,73,0,0,25.6,0,23,316.6,15
2015-11-03 00:00:00,1,21,20151103001,20.5,7.2,0.0,77,0,0,22.55,1,0,312.8,15
2015-11-03 01:00:00,1,18,20151103011,20.0,6.9,0.0,79,0,0,21.0,1,1,310.8,15
2015-11-03 02:00:00,1,19,20151103021,19.5,6.6,0.0,81,0,0,21.45,1,2,311.2,15
2015-11-03 03:00:00,1,13,20151103031,19.1,5.9,0.0,83,0,0,18.41,1,3,307.44,15
2015-11-03 04:00:00,1,11,20151103041,18.8,5.5,0.0,85,0,0,17.38,1,4,306.12,15
2015-11-03 05:00:00,1,11,20151103051,18.3,5.9,0.0,88,0,0,17.33,1,5,305.92,15
2015-11-03 06:00:00,1,11,20151103061,18.1,6.8,0.0,88,0,0,17.31,1,6,305.84,15
2015-11-03 07:00:00,1,14,20151103071,19.6,3.7,0.0,81,0,0,18.96,1,7,308.24,15
2015-11-03 08:00:00,1,15,20151103081,22.0,1.9,0.0,71,0,0,19.7,1,8,309.8,15
2015-11-03 09:00:00,1,29,20151103091,24.6,1.9,0.0,61,0,0,26.96,1,9,319.24,15
2015-11-03 10:00:00,1,33,20151103101,26.2,1.5,0.0,54,0,0,29.12,1,10,322.28,15
2015-11-03 11:00:00,1,32,20151103111,27.2,3.9,0.0,50,0,0,28.72,1,11,322.08,15
2015-11-03 12:00:00,1,32,20151103121,27.8,5.8,0.0,50,0,0,28.78,1,12,322.32,15
2015-11-03 13:00:00,1,29,20151103131,28.1,6.6,0.0,48,0,0,27.31,1,13,320.64,15
2015-11-03 14:00:00,1,27,20151103141,28.3,7.2,0.0,46,0,0,26.33,1,14,319.52,15
2015-11-03 15:00:00,1,26,20151103151,28.1,9.9,0.0,44,0,0,25.81,1,15,318.84,15
2015-11-03 16:00:00,1,28,20151103161,27.7,7.4,0.0,44,0,0,26.77,1,16,319.88,15
2015-11-03 17:00:00,1,26,20151103171,26.6,7.1,0.0,49,0,0,25.66,1,17,318.24,15
2015-11-03 18:00:00,1,25,20151103181,25.4,5.9,0.0,54,0,0,25.04,1,18,317.16,15
2015-11-03 19:00:00,1,29,20151103191,24.1,6.2,0.0,59,0,0,26.91,1,19,319.04,15
2015-11-03 20:00:00,1,26,20151103201,22.8,7.7,0.0,65,0,0,25.28,1,20,316.72,15
2015-11-03 21:00:00,1,24,20151103211,21.8,7.3,0.0,69,0,0,24.18,1,21,315.12,15
2015-11-03 22:00:00,1,25,20151103221,20.9,7.2,0.0,73,0,0,24.59,1,22,315.36,15
2015-11-03 23:00:00,1,20,20151103231,20.3,6.2,0.0,75,0,0,22.03,1,23,312.12,15
2015-11-04 00:00:00,1,18,20151104001,19.7,6.6,0.0,77,0,0,20.97,2,0,310.68,15
2015-11-04 01:00:00,1,18,20151104011,19.2,7.3,0.0,79,0,0,20.92,2,1,310.48,15
2015-11-04 02:00:00,1,13,20151104021,18.6,7.7,0.0,83,0,0,18.36,2,2,307.24,15
2015-11-04 03:00:00,1,13,20151104031,18.3,4.8,0.0,85,0,0,18.33,2,3,307.12,15
2015-11-04 04:00:00,1,10,20151104041,18.7,0.5,0.0,83,0,0,16.87,2,4,305.48,15
2015-11-04 05:00:00,1,12,20151104051,18.3,0.8,0.0,85,0,0,17.83,2,5,306.52,15
2015-11-04 06:00:00,1,13,20151104061,18.1,0.5,0.0,86,0,0,18.31,2,6,307.04,15
2015-11-04 07:00:00,1,11,20151104071,18.6,0.5,0.0,85,0,0,17.36,2,7,306.04,15
2015-11-04 08:00:00,1,13,20151104081,21.7,2.2,0.0,71,0,0,18.67,2,8,308.48,15
2015-11-04 09:00:00,1,22,20151104091,24.8,3.8,0.0,57,0,0,23.48,2,9,315.12,15
2015-11-04 10:00:00,1,26,20151104101,26.8,3.7,0.0,50,0,0,25.68,2,10,318.32,15
2015-11-04 11:00:00,1,27,20151104111,28.1,2.9,0.0,46,0,0,26.31,2,11,319.44,15
2015-11-04 12:00:00,1,31,20151104121,28.5,2.1,0.0,45,0,0,28.35,2,12,322.0,15
2015-11-04 13:00:00,1,24,20151104131,28.8,1.3,0.0,43,0,0,24.88,2,13,317.92,15
2015-11-04 14:00:00,1,23,20151104141,28.9,0.7,0.0,42,0,0,24.39,2,14,317.36,15
2015-11-04 15:00:00,1,26,20151104151,28.9,2.3,0.0,42,0,0,25.89,2,15,319.16,15
2015-11-04 16:00:00,1,26,20151104161,28.5,2.1,0.0,43,0,0,25.85,2,16,319.0,15
2015-11-04 17:00:00,1,24,20151104171,27.4,6.9,0.0,48,0,0,24.74,2,17,317.36,15
2015-11-04 18:00:00,1,23,20151104181,25.6,7.0,0.0,55,0,0,24.06,2,18,316.04,15
2015-11-04 19:00:00,1,25,20151104191,24.3,7.6,0.0,59,0,0,24.93,2,19,316.72,15
2015-11-04 20:00:00,1,26,20151104201,23.4,7.7,0.0,63,0,0,25.34,2,20,316.96,15
2015-11-04 21:00:00,1,24,20151104211,22.8,8.1,0.0,65,0,0,24.28,2,21,315.52,15
2015-11-04 22:00:00,1,26,20151104221,22.2,7.9,0.0,67,0,0,25.22,2,22,316.48,15
2015-11-04 23:00:00,1,24,20151104231,21.6,7.4,0.0,70,0,0,24.16,2,23,315.04,15
2015-11-05 00:00:00,1,19,20151105001,21.4,7.2,0.0,73,0,0,21.64,3,0,311.96,15
2015-11-05 01:00:00,1,20,20151105011,21.0,7.0,0.0,75,0,0,22.1,3,1,312.4,15
2015-11-05 02:00:00,1,18,20151105021,20.3,6.5,0.0,78,0,0,21.03,3,2,310.92,15
2015-11-05 03:00:00,1,13,20151105031,20.1,5.2,0.1,79,0,0,18.63,3,3,307.96,15
2015-11-05 04:00:00,1,13,20151105041,19.8,9.3,0.2,81,0,0,18.72,3,4,307.96,15
2015-11-05 05:00:00,1,9,20151105051,19.7,12.8,0.0,81,0,0,16.47,3,5,305.28,15
2015-11-05 06:00:00,1,12,20151105061,19.5,13.5,0.0,81,0,0,17.95,3,6,307.0,15
2015-11-05 07:00:00,1,12,20151105071,19.7,13.7,0.0,80,0,0,17.97,3,7,307.08,15
2015-11-05 08:00:00,1,15,20151105081,20.7,13.4,0.2,76,0,0,19.81,3,8,309.52,15
2015-11-05 09:00:00,1,16,20151105091,21.7,15.5,0.0,72,0,0,20.17,3,9,310.28,15
2015-11-05 10:00:00,1,23,20151105101,24.0,18.6,0.0,61,0,0,23.9,3,10,315.4,15
2015-11-05 11:00:00,1,24,20151105111,25.3,19.1,0.0,56,0,0,24.53,3,11,316.52,15
2015-11-05 12:00:00,1,25,20151105121,26.5,16.5,0.0,53,0,0,25.15,3,12,317.6,15
2015-11-05 13:00:00,1,24,20151105131,27.3,12.8,0.0,49,0,0,24.73,3,13,317.32,15
2015-11-05 14:00:00,1,26,20151105141,27.8,9.4,0.0,47,0,0,25.78,3,14,318.72,15
2015-11-05 15:00:00,1,22,20151105151,27.7,6.6,0.0,46,0,0,23.77,3,15,316.28,15
2015-11-05 16:00:00,1,20,20151105161,27.3,6.2,0.0,48,0,0,22.73,3,16,314.92,15
2015-11-05 17:00:00,1,20,20151105171,26.2,7.1,0.0,53,0,0,22.62,3,17,314.48,15
2015-11-05 18:00:00,1,22,20151105181,24.5,7.3,0.0,60,0,0,23.45,3,18,315.0,15
2015-11-05 19:00:00,1,26,20151105191,23.5,6.3,0.0,64,0,0,25.35,3,19,317.0,15
2015-11-05 20:00:00,1,22,20151105201,22.6,5.9,0.0,69,0,0,23.26,3,20,314.24,15
2015-11-05 21:00:00,1,21,20151105211,21.7,7.4,0.0,73,0,0,22.67,3,21,313.28,15
2015-11-05 22:00:00,1,21,20151105221,21.3,9.2,0.0,75,0,0,22.63,3,22,313.12,15
2015-11-05 23:00:00,1,21,20151105231,20.7,6.5,0.0,78,0,0,22.57,3,23,312.88,15
2015-11-06 00:00:00,1,16,20151106001,20.5,6.2,0.0,78,0,0,20.05,4,0,309.8,15
